"period","zone","age","measure","value"
"2002-2004","S01001799","19 And Under","Ratio","45.45"
"2003-2005","S01001799","19 And Under","Ratio",60
"2004-2006","S01001799","19 And Under","Ratio","61.54"
"2005-2007","S01001799","19 And Under","Ratio",50
"2006-2008","S01001799","19 And Under","Ratio",40
"2007-2009","S01001799","19 And Under","Ratio","29.41"
"2008-2010","S01001799","19 And Under","Ratio","36.36"
"2009-2011","S01001799","19 And Under","Ratio",35
"2010-2012","S01001799","19 And Under","Ratio","47.06"
"2000-2002","S01001799","19 And Under","Ratio",50
"2011-2013","S01001799","19 And Under","Ratio","44.44"
"2003-2005","S01001799","35 And Over","Ratio",0
"2008-2010","S01001799","35 And Over","Ratio",0
"2009-2011","S01001799","35 And Over","Ratio",0
"2002-2004","S01001799","35 And Over","Ratio",0
"2000-2002","S01001799","35 And Over","Ratio","6.25"
"2004-2006","S01001799","35 And Over","Ratio",0
"2005-2007","S01001799","35 And Over","Ratio",0
"2001-2003","S01001799","35 And Over","Ratio",0
